Clade,Family,species,Genus,species,haploid
Angiosperms,Fabaceae,Astragalus_monoensis,Astragalus,monoensis,11
Angiosperms,Fabaceae,Astragalus_monspessulanus,Astragalus,monspessulanus,8
Angiosperms,Fabaceae,Astragalus_multijugus,Astragalus,multijugus,8
Angiosperms,Fabaceae,Astragalus_munroi,Astragalus,munroi,8
Angiosperms,Fabaceae,Astragalus_neomexicanus,Astragalus,neomexicanus,11
Angiosperms,Fabaceae,Astragalus_nivalis,Astragalus,nivalis,8
Angiosperms,Fabaceae,Astragalus_nothoxys,Astragalus,nothoxys,14
Angiosperms,Fabaceae,Astragalus_nuttallianus,Astragalus,nuttallianus,11
Angiosperms,Fabaceae,Astragalus_nuttallii,Astragalus,nuttallii,11
Angiosperms,Fabaceae,Astragalus_obtusifolius,Astragalus,obtusifolius,8
Angiosperms,Fabaceae,Astragalus_onobrychis,Astragalus,onobrychis,8
Angiosperms,Fabaceae,Astragalus_oocarpus,Astragalus,oocarpus,11
Angiosperms,Fabaceae,Astragalus_ovinus,Astragalus,ovinus,8
Angiosperms,Fabaceae,Astragalus_oxyglottis,Astragalus,oxyglottis,8
Angiosperms,Fabaceae,Astragalus_palenae,Astragalus,palenae,13
Angiosperms,Fabaceae,Astragalus_parvus,Astragalus,parvus,15
Angiosperms,Fabaceae,Astragalus_peduncularis,Astragalus,peduncularis,8
Angiosperms,Fabaceae,Astragalus_pelecinus,Astragalus,pelecinus,8
Angiosperms,Fabaceae,Astragalus_pellitus,Astragalus,pellitus,8
Angiosperms,Fabaceae,Astragalus_pictiformis,Astragalus,pictiformis,22
Angiosperms,Fabaceae,Astragalus_pinetorum,Astragalus,pinetorum,8
Angiosperms,Fabaceae,Astragalus_pomonensis,Astragalus,pomonensis,11
Angiosperms,Fabaceae,Astragalus_praelongus,Astragalus,praelongus,11
Angiosperms,Fabaceae,Astragalus_proximus,Astragalus,proximus,11
Angiosperms,Fabaceae,Astragalus_pseudovinus,Astragalus,pseudovinus,8
Angiosperms,Fabaceae,Astragalus_psilacanthus,Astragalus,psilacanthus,8
Angiosperms,Fabaceae,Astragalus_puniceus,Astragalus,puniceus,11
Angiosperms,Fabaceae,Astragalus_racemosus,Astragalus,racemosus,11
Angiosperms,Fabaceae,Astragalus_radicans,Astragalus,radicans,15
Angiosperms,Fabaceae,Astragalus_rawlinsianus,Astragalus,rawlinsianus,8
Angiosperms,Fabaceae,Astragalus_recurvus,Astragalus,recurvus,11
Angiosperms,Fabaceae,Astragalus_remotijugus,Astragalus,remotijugus,8
Angiosperms,Fabaceae,Astragalus_retamocarpus,Astragalus,retamocarpus,8
Angiosperms,Fabaceae,Astragalus_rhizanthus,Astragalus,rhizanthus,8
Angiosperms,Fabaceae,Astragalus_rusbyi,Astragalus,rusbyi,11
Angiosperms,Fabaceae,Astragalus_russelii,Astragalus,russelii,8
Angiosperms,Fabaceae,Astragalus_schimperi,Astragalus,schimperi,8
Angiosperms,Fabaceae,Astragalus_schmalhausenii,Astragalus,schmalhausenii,8
Angiosperms,Fabaceae,Astragalus_scorpiurus,Astragalus,scorpiurus,8
Angiosperms,Fabaceae,Astragalus_sempervirens,Astragalus,sempervirens,8
Angiosperms,Fabaceae,Astragalus_sesameus,Astragalus,sesameus,8
Angiosperms,Fabaceae,Astragalus_sesamoides,Astragalus,sesamoides,8
Angiosperms,Fabaceae,Astragalus_sieberi,Astragalus,sieberi,8
Angiosperms,Fabaceae,Astragalus_sieversianus,Astragalus,sieversianus,8
Angiosperms,Fabaceae,Astragalus_siliquosus,Astragalus,siliquosus,8
Angiosperms,Fabaceae,Astragalus_sinaloae,Astragalus,sinaloae,14
Angiosperms,Fabaceae,Astragalus_sinuatus,Astragalus,sinuatus,11
Angiosperms,Fabaceae,Astragalus_speirocarpus,Astragalus,speirocarpus,11
Angiosperms,Fabaceae,Astragalus_spinosus,Astragalus,spinosus,8
Angiosperms,Fabaceae,Astragalus_squarrosus,Astragalus,squarrosus,8
Angiosperms,Fabaceae,Astragalus_stalinskyi,Astragalus,stalinskyi,8
Angiosperms,Fabaceae,Astragalus_stella,Astragalus,stella,8
Angiosperms,Fabaceae,Astragalus_stenocarpus,Astragalus,stenocarpus,16
Angiosperms,Fabaceae,Astragalus_stewartii,Astragalus,stewartii,8
Angiosperms,Fabaceae,Astragalus_straturensis,Astragalus,straturensis,11
Angiosperms,Fabaceae,Astragalus_strictus,Astragalus,strictus,8
Angiosperms,Fabaceae,Astragalus_submitis,Astragalus,submitis,8
Angiosperms,Fabaceae,Astragalus_subsecundus,Astragalus,subsecundus,8
Angiosperms,Fabaceae,Astragalus_subuliformis,Astragalus,subuliformis,8
Angiosperms,Fabaceae,Astragalus_succumbens,Astragalus,succumbens,12
Angiosperms,Fabaceae,Astragalus_tawilicus,Astragalus,tawilicus,8
Angiosperms,Fabaceae,Astragalus_teheranicus,Astragalus,teheranicus,8
Angiosperms,Fabaceae,Astragalus_tenellus,Astragalus,tenellus,12
Angiosperms,Fabaceae,Astragalus_tener,Astragalus,tener,11
Angiosperms,Fabaceae,Astragalus_tennesseensis,Astragalus,tennesseensis,11
Angiosperms,Fabaceae,Astragalus_thurberi,Astragalus,thurberi,11
Angiosperms,Fabaceae,Astragalus_tibetanus,Astragalus,tibetanus,8
Angiosperms,Fabaceae,Astragalus_tribulifolius,Astragalus,tribulifolius,8
Angiosperms,Fabaceae,Astragalus_tribuloides,Astragalus,tribuloides,8
Angiosperms,Fabaceae,Astragalus_trichopodus,Astragalus,trichopodus,11
Angiosperms,Fabaceae,Astragalus_trigonus,Astragalus,trigonus,8
Angiosperms,Fabaceae,Astragalus_vereskensis,Astragalus,vereskensis,8
Angiosperms,Fabaceae,Astragalus_vesicarius,Astragalus,vesicarius,8
Angiosperms,Fabaceae,Astragalus_vexilliflexus,Astragalus,vexilliflexus,14
Angiosperms,Fabaceae,Astragalus_vicarius,Astragalus,vicarius,12
Angiosperms,Fabaceae,Astragalus_vogelii,Astragalus,vogelii,8
Angiosperms,Fabaceae,Astragalus_vulcanicus,Astragalus,vulcanicus,8
Angiosperms,Fabaceae,Astragalus_waterfallii,Astragalus,waterfallii,11
Angiosperms,Fabaceae,Astragalus_webbianus,Astragalus,webbianus,8
Angiosperms,Fabaceae,Astragalus_whitneyi,Astragalus,whitneyi,11
